2024-07-09T23:09:37.045+07:00Z&2203;v|86,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,0,0,0,0.00,"}
2024-07-09T23:14:42.557+07:00Z&2203;v|86,24,23,30,37,0.00,"};
2024-07-09T23:14:42.573+07:00Z&2203;v|86,24,23,30,37,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,23,30,37,0.00,"}
2024-07-09T23:19:48.060+07:00Z&2203;v|86,24,24,32,39,0.00,"};
2024-07-09T23:19:48.071+07:00Z&2203;v|86,24,24,32,39,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,24,32,39,0.00,"}
2024-07-09T23:24:53.561+07:00Z&2203;v|86,24,0,0,0,0.00,"};
2024-07-09T23:24:53.573+07:00Z&2203;v|86,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,0,0,0,0.00,"}
2024-07-09T23:29:59.080+07:00Z&2203;v|86,24,28,38,45,0.00,"};
2024-07-09T23:29:59.138+07:00Z&2203;v|86,24,28,38,45,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,28,38,45,0.00,"}
2024-07-09T23:35:04.617+07:00Z&2203;v|86,24,52,68,89,0.00,"};
2024-07-09T23:35:04.646+07:00Z&2203;v|86,24,52,68,89,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,52,68,89,0.00,"}
2024-07-09T23:40:10.100+07:00Z&2203;v|86,24,0,0,0,0.00,"};
2024-07-09T23:40:10.118+07:00Z&2203;v|86,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,0,0,0,0.00,"}
2024-07-09T23:45:15.609+07:00Z&2203;v|86,24,23,33,39,0.00,"};
2024-07-09T23:45:15.622+07:00Z&2203;v|86,24,23,33,39,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,23,33,39,0.00,"}
2024-07-09T23:50:21.115+07:00Z&2203;v|87,24,24,33,38,0.00,"};
2024-07-09T23:50:21.131+07:00Z&2203;v|87,24,24,33,38,0.00,"};&{"id": "c1151e2a","data": "ht120v|87,24,24,33,38,0.00,"}
2024-07-09T23:55:26.618+07:00Z&2203;v|86,24,0,0,0,0.00,"};
2024-07-09T23:55:26.640+07:00Z&2203;v|86,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,0,0,0,0.00,"}
2024-07-10T00:00:32.154+07:00Z&2203;v|87,24,26,36,43,0.00,"};
2024-07-10T00:00:32.182+07:00Z&2203;v|87,24,26,36,43,0.00,"};&{"id": "c1151e2a","data": "ht120v|87,24,26,36,43,0.00,"}
2024-07-10T00:05:37.644+07:00Z&2203;v|86,24,25,35,39,0.00,"};
2024-07-10T00:05:37.655+07:00Z&2203;v|86,24,25,35,39,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,25,35,39,0.00,"}
2024-07-10T00:10:43.142+07:00Z&2203;v|86,24,0,0,0,0.00,"};
2024-07-10T00:10:43.153+07:00Z&2203;v|86,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,0,0,0,0.00,"}
2024-07-10T00:15:48.649+07:00Z&2203;v|86,24,26,37,46,0.00,"};
2024-07-10T00:15:48.663+07:00Z&2203;v|86,24,26,37,46,0.00,"};&{"id": "c1151e2a","data": "ht120v|86,24,26,37,46,0.00,"}
2024-07-10T00:20:54.172+07:00Z&2203;v|87,24,27,36,42,0.00,"};
2024-07-10T00:20:54.214+07:00Z&2203;v|87,24,27,36,42,0.00,"};&{"id": "c1151e2a","data": "ht120v|87,24,27,36,42,0.00,"}
2024-07-10T00:25:59.660+07:00Z&2203;v|88,24,0,0,0,0.00,"};
2024-07-10T00:25:59.675+07:00Z&2203;v|88,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|88,24,0,0,0,0.00,"}
2024-07-10T00:31:05.202+07:00Z&2203;v|87,24,36,47,58,0.00,"};
2024-07-10T00:31:05.227+07:00Z&2203;v|87,24,36,47,58,0.00,"};&{"id": "c1151e2a","data": "ht120v|87,24,36,47,58,0.00,"}
2024-07-10T00:36:10.721+07:00Z&2203;v|87,24,30,41,49,0.00,"};
2024-07-10T00:36:10.746+07:00Z&2203;v|87,24,30,41,49,0.00,"};&{"id": "c1151e2a","data": "ht120v|87,24,30,41,49,0.00,"}
2024-07-10T00:41:16.183+07:00Z&2203;v|87,24,0,0,0,0.00,"};
2024-07-10T00:41:16.195+07:00Z&2203;v|87,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|87,24,0,0,0,0.00,"}
2024-07-10T00:46:21.700+07:00Z&2203;v|87,24,27,36,42,0.00,"};
2024-07-10T00:46:21.720+07:00Z&2203;v|87,24,27,36,42,0.00,"};&{"id": "c1151e2a","data": "ht120v|87,24,27,36,42,0.00,"}
2024-07-10T00:51:27.219+07:00Z&2203;v|87,24,26,34,44,0.00,"};
2024-07-10T00:51:27.240+07:00Z&2203;v|87,24,26,34,44,0.00,"};&{"id": "c1151e2a","data": "ht120v|87,24,26,34,44,0.00,"}
2024-07-10T00:56:32.708+07:00Z&2203;v|89,24,0,0,0,0.00,"};
2024-07-10T00:56:32.729+07:00Z&2203;v|89,24,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,24,0,0,0,0.00,"}
2024-07-10T01:01:38.216+07:00Z&2203;v|88,24,29,39,47,0.00,"};
2024-07-10T01:01:38.226+07:00Z&2203;v|88,24,29,39,47,0.00,"};&{"id": "c1151e2a","data": "ht120v|88,24,29,39,47,0.00,"}
2024-07-10T01:06:43.737+07:00Z&2203;v|89,24,28,38,46,0.00,"};
2024-07-10T01:06:43.750+07:00Z&2203;v|89,24,28,38,46,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,24,28,38,46,0.00,"}
2024-07-10T01:11:49.221+07:00Z&2203;v|89,23,0,0,0,0.00,"};
2024-07-10T01:11:49.231+07:00Z&2203;v|89,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,0,0,0,0.00,"}
2024-07-10T01:16:54.747+07:00Z&2203;v|89,23,29,39,47,0.00,"};
2024-07-10T01:16:54.756+07:00Z&2203;v|89,23,29,39,47,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,29,39,47,0.00,"}
2024-07-10T01:22:00.251+07:00Z&2203;v|89,23,28,37,43,0.00,"};
2024-07-10T01:22:00.264+07:00Z&2203;v|89,23,28,37,43,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,28,37,43,0.00,"}
2024-07-10T01:27:05.739+07:00Z&2203;v|89,23,0,0,0,0.00,"};
2024-07-10T01:27:05.751+07:00Z&2203;v|89,23,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|89,23,0,0,0,0.00,"}
2024-07-10T01:32:11.257+07:00Z&2203;v|89,23,27,37,47,0.00,"};
