timestamp,message
Timestamp,Message
13:27:21,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,50,64,80,0,0.55,""}"
13:27:22,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,64,80,0,0.55,""}"
13:27:23,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,63,79,0,0.55,""}"
13:27:25,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,63,79,0,0.55,""}"
13:27:26,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,63,79,0,0.57,""}"
13:27:27,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,63,79,0,0.55,""}"
13:27:28,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,48,63,79,0,0.55,""}"
13:27:30,"{""id"": ""7d80e4e0"",""data"": ""ht120av|53,35,48,63,79,3,0.55,""}"
13:27:31,"{""id"": ""7d80e4e0"",""data"": ""ht120av|53,35,48,63,79,0,0.55,""}"
13:27:32,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,77,0,0.55,""}"
13:27:33,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,77,0,0.55,""}"
13:27:35,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,77,0,0.60,""}"
13:27:36,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,77,0,0.55,""}"
13:27:37,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,77,0,0.55,""}"
13:27:38,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,76,0,0.55,""}"
13:27:40,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,75,0,0.55,""}"
13:27:41,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,74,0,0.55,""}"
13:27:42,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,47,61,74,0,0.55,""}"
13:27:43,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,0,0.55,""}"
13:27:45,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,0,0.55,""}"
13:27:46,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,3,0.55,""}"
13:27:47,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,0,0.62,""}"
13:27:48,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,0,0.57,""}"
13:27:50,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,0,0.57,""}"
13:27:51,"{""id"": ""7d80e4e0"",""data"": ""ht120av|52,35,49,63,75,1,0.55,""}"
